アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,Training Stress Score®,ステップ,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度,メモ
ラン,2026-03-23 19:00:00,False,国分寺市 ラン,1.82,75,00:13:02,121,139,170,180,7:09,6:40,14,12,0.82,0.0,"2,242",いいえ,00:05:49.1,2,00:12:48,00:16:36,78,93,
散歩,2026-03-20 21:56:00,False,ウォーキング,3.0,--,00:00:00,--,--,--,--,--,--,--,--,--,0.0,--,いいえ,00:00:00,1,--:--:--,00:00:00,--,--,
ラン,2026-03-20 16:05:53,False,国分寺市 ラン,8.03,392,00:51:27,153,167,179,198,6:25,4:19,60,55,0.87,0.0,"9,190",いいえ,00:00:08.9,9,00:51:15,00:53:13,70,93,
ラン,2026-03-19 19:23:51,False,国分寺市 ラン,12.01,570,01:19:43,148,163,176,184,6:38,5:37,85,86,0.86,0.0,"13,964",いいえ,00:00:03.4,13,01:19:33,01:22:57,70,105,
ラン,2026-03-16 18:39:01,False,国分寺市 ラン,13.24,659,01:31:35,150,162,174,188,6:55,4:51,96,102,0.83,0.0,"15,966",いいえ,00:01:16.1,14,01:31:22,01:37:07,70,99,
ラン,2026-03-15 15:55:35,False,国分寺市 ラン,17.4,835,01:48:56,149,166,181,202,6:16,5:09,117,121,0.88,0.0,"19,760",いいえ,00:02:23.0,18,01:48:45,01:50:38,70,92,
ラン,2026-03-14 10:59:58,False,府中市 ラン,10.0,501,00:54:10,178,197,184,192,5:25,3:56,115,113,1.00,0.0,"9,864",いいえ,00:04:57.4,10,00:53:58,00:54:10,30,57,
ラン,2026-03-10 18:52:46,False,国分寺市 ラン,15.14,745,01:40:13,149,163,178,187,6:37,5:29,88,88,0.85,0.0,"17,814",いいえ,00:00:53.8,16,01:39:46,01:45:17,70,101,
ラン,2026-03-08 10:23:19,False,昭島市 ラン,13.61,662,01:27:14,136,160,178,209,6:24,4:42,85,85,0.88,0.0,"15,546",いいえ,00:03:22.5,14,01:26:42,01:49:47,96,127,
ラン,2026-03-06 18:18:21,False,国分寺市 ラン,12.02,608,01:21:09,157,178,175,185,6:45,5:23,86,85,0.85,0.0,"14,176",いいえ,00:00:09.3,13,01:21:05,01:24:01,70,94,
ラン,2026-03-05 19:09:32,False,国分寺市 ラン,15.51,776,01:41:05,154,169,176,188,6:31,5:14,84,89,0.87,0.0,"17,806",いいえ,00:03:11.1,16,01:40:47,01:43:21,70,93,
ラン,2026-03-03 18:50:00,False,じむ,8.0,407,00:50:00,--,--,--,--,6:15,--,--,--,--,0.0,--,いいえ,00:50:00,1,--:--:--,00:50:00,--,--,
ラン,2026-03-02 18:33:48,False,国分寺市 ラン,11.33,550,01:16:36,146,159,177,190,6:46,5:47,60,63,0.84,0.0,"13,518",いいえ,00:02:09.8,12,01:16:31,01:19:46,70,93,
ラン,2026-03-01 11:00:02,False,北区 ラン,10.08,484,00:54:19,167,180,186,195,5:23,4:07,300,299,1.00,0.0,"9,696",いいえ,00:00:22.4,11,00:54:09,00:54:19,-13,23,
